date,value
2015-10-10,2.0
2015-10-11,2.0
2015-10-12,2.0
2015-10-13,6.0
2015-10-14,5.0
2015-10-15,4.0
2015-10-17,1.0
2015-10-18,1.0
2015-10-19,11.0
2015-10-2,1.0
2015-10-20,4.0
2015-10-21,11.0
2015-10-23,1.0
2015-10-24,7.0
2015-10-25,1.0
2015-10-26,6.0
2015-10-27,4.0
2015-10-29,1.0
2015-10-3,3.0
2015-10-30,2.0
2015-10-31,9.0
2015-10-4,2.0
2015-10-5,5.0
2015-10-6,6.0
2015-10-7,5.0
2015-10-9,2.0
2015-11-1,1.0
2015-11-10,3.0
2015-11-11,2.0
2015-11-12,4.0
2015-11-13,1.0
2015-11-15,1.0
2015-11-16,3.0
2015-11-17,4.0
2015-11-18,1.0
2015-11-19,5.0
2015-11-2,7.0
2015-11-20,11.0
2015-11-21,3.0
2015-11-22,1.0
2015-11-23,2.0
2015-11-24,2.0
2015-11-26,2.0
2015-11-27,3.0
2015-11-28,4.0
2015-11-3,2.0
2015-11-30,2.0
2015-11-4,1.0
2015-11-6,5.0
2015-11-7,2.0
2015-11-9,4.0
2015-12-1,2.0
2015-12-10,4.0
2015-12-11,2.0
2015-12-12,4.0
2015-12-14,2.0
2015-12-15,4.0
2015-12-17,2.0
2015-12-18,3.0
2015-12-19,1.0
2015-12-2,2.0
2015-12-21,2.0
2015-12-24,3.0
2015-12-25,4.0
2015-12-26,1.0
2015-12-27,6.0
2015-12-28,11.0
2015-12-29,4.0
2015-12-3,4.0
2015-12-30,2.0
2015-12-31,13.0
2015-12-4,4.0
2015-12-5,6.0
2015-12-6,1.0
2015-12-8,1.0
2015-12-9,2.0
2015-3-1,2.0
2015-3-10,7.0
2015-3-11,6.0
2015-3-12,4.0
2015-3-13,5.0
2015-3-14,2.0
2015-3-15,2.0
2015-3-16,6.0
2015-3-17,9.0
2015-3-18,2.0
2015-3-19,5.0
2015-3-2,4.0
2015-3-20,1.0
2015-3-21,2.0
2015-3-22,1.0
2015-3-23,1.0
2015-3-25,7.0
2015-3-26,6.0
2015-3-27,3.0
2015-3-28,3.0
2015-3-29,2.0
2015-3-3,4.0
2015-3-30,7.0
2015-3-31,6.0
2015-3-4,5.0
2015-3-5,2.0
2015-3-6,3.0
2015-3-7,3.0
2015-3-8,1.0
2015-3-9,5.0
2015-4-1,8.0
2015-4-10,2.0
2015-4-13,10.0
2015-4-14,8.0
2015-4-15,6.0
2015-4-16,4.0
2015-4-17,2.0
2015-4-2,4.0
2015-4-20,6.0
2015-4-21,9.0
2015-4-22,5.0
2015-4-23,6.0
2015-4-24,1.0
2015-4-25,4.0
2015-4-26,1.0
2015-4-27,5.0
2015-4-28,2.0
2015-4-29,8.0
2015-4-3,3.0
2015-4-30,7.0
2015-4-4,1.0
2015-4-5,11.0
2015-4-6,6.0
2015-4-7,8.0
2015-4-8,7.0
2015-4-9,7.0
2015-5-1,2.0
2015-5-11,5.0
2015-5-12,10.0
2015-5-13,7.0
2015-5-14,14.0
2015-5-16,4.0
2015-5-17,17.0
2015-5-18,6.0
2015-5-19,5.0
2015-5-2,1.0
2015-5-20,7.0
2015-5-21,6.0
2015-5-22,6.0
2015-5-23,2.0
2015-5-26,6.0
2015-5-27,4.0
2015-5-28,3.0
2015-5-30,6.0
2015-5-31,1.0
2015-5-4,4.0
2015-5-5,12.0
2015-5-6,12.0
2015-5-7,5.0
2015-6-1,7.0
2015-6-10,7.0
2015-6-11,4.0
2015-6-13,2.0
2015-6-14,5.0
2015-6-15,5.0
2015-6-17,11.0
2015-6-18,2.0
2015-6-19,2.0
2015-6-2,6.0
2015-6-22,7.0
2015-6-24,2.0
2015-6-25,1.0
2015-6-26,4.0
2015-6-29,5.0
2015-6-3,7.0
2015-6-4,1.0
2015-6-7,1.0
2015-6-8,6.0
2015-7-1,1.0
2015-7-10,4.0
2015-7-13,5.0
2015-7-15,2.0
2015-7-20,7.0
2015-7-21,3.0
2015-7-22,1.0
2015-7-23,6.0
2015-7-24,4.0
2015-7-25,4.0
2015-7-26,5.0
2015-7-29,6.0
2015-7-3,2.0
2015-7-30,2.0
2015-7-31,2.0
2015-7-5,5.0
2015-7-6,8.0
2015-7-7,1.0
2015-7-8,1.0
2015-8-1,1.0
2015-8-10,4.0
2015-8-12,3.0
2015-8-14,2.0
2015-8-15,2.0
2015-8-17,3.0
2015-8-18,4.0
2015-8-19,2.0
2015-8-2,2.0
2015-8-21,2.0
2015-8-22,1.0
2015-8-24,4.0
2015-8-25,1.0
2015-8-26,5.0
2015-8-28,2.0
2015-8-29,4.0
2015-8-30,5.0
2015-8-31,8.0
2015-8-4,6.0
2015-8-5,2.0
2015-8-6,6.0
2015-8-7,3.0
2015-8-8,1.0
2015-8-9,2.0
2015-9-1,6.0
2015-9-12,2.0
2015-9-13,3.0
2015-9-14,1.0
2015-9-15,3.0
2015-9-16,7.0
2015-9-18,7.0
2015-9-19,1.0
2015-9-2,3.0
2015-9-22,4.0
2015-9-23,5.0
2015-9-24,2.0
2015-9-25,1.0
2015-9-27,1.0
2015-9-28,6.0
2015-9-29,3.0
2015-9-30,7.0
2015-9-5,1.0
2015-9-7,3.0
2015-9-8,3.0
2015-9-9,7.0
2016-1-1,9.0
2016-1-10,5.0
2016-1-11,5.0
2016-1-12,4.0
2016-1-13,10.0
2016-1-14,6.0
2016-1-15,7.0
2016-1-16,1.0
2016-1-17,1.0
2016-1-18,8.0
2016-1-19,9.0
2016-1-23,1.0
2016-1-24,2.0
2016-1-25,1.0
2016-1-26,2.0
2016-1-27,2.0
2016-1-29,1.0
2016-1-3,7.0
2016-1-30,1.0
2016-1-31,4.0
2016-1-4,2.0
2016-1-5,3.0
2016-1-6,7.0
2016-1-7,9.0
2016-1-8,3.0
2016-1-9,5.0
2016-2-1,4.0
2016-2-10,1.0
2016-2-11,3.0
2016-2-13,4.0
2016-2-14,1.0
2016-2-15,1.0
2016-2-16,2.0
2016-2-17,3.0
2016-2-19,10.0
2016-2-2,2.0
2016-2-20,11.0
2016-2-21,7.0
2016-2-22,10.0
2016-2-23,12.0
2016-2-24,8.0
2016-2-25,13.0
2016-2-26,1.0
2016-2-27,2.0
2016-2-28,2.0
2016-2-29,12.0
2016-2-3,1.0
2016-2-4,1.0
2016-2-6,2.0
2016-2-7,2.0
2016-2-8,3.0
2016-3-1,10.0
2016-3-10,3.0
2016-3-11,17.0
2016-3-12,2.0
2016-3-13,1.0
2016-3-14,5.0
2016-3-15,13.0
2016-3-16,9.0
2016-3-17,8.0
2016-3-18,13.0
2016-3-2,28.0
2016-3-20,3.0
2016-3-21,5.0
2016-3-22,12.0
2016-3-3,10.0
2016-3-6,3.0
2016-3-7,17.0
2016-3-8,2.0
2016-3-9,9.0
