value,date
280,2016-03-01 07:54:35 -0300
744,2016-03-01 07:59:37 -0300
894,2016-03-01 08:04:38 -0300
494,2016-03-01 08:09:40 -0300
53,2016-03-01 08:14:52 -0300
288,2016-03-01 08:53:15 -0300
170,2016-03-01 10:03:22 -0300
37,2016-03-01 10:13:15 -0300
630,2016-03-01 11:58:17 -0300
832,2016-03-01 12:03:33 -0300
597,2016-03-01 12:08:41 -0300
75,2016-03-01 12:11:55 -0300
846,2016-03-01 12:35:24 -0300
935,2016-03-01 12:40:29 -0300
826,2016-03-01 12:45:30 -0300
74,2016-03-01 12:50:31 -0300
83,2016-03-01 13:18:37 -0300
119,2016-03-01 13:23:36 -0300
110,2016-03-01 15:51:21 -0300
39,2016-03-01 15:59:53 -0300
62,2016-03-01 16:22:45 -0300
8,2016-03-01 16:31:55 -0300
20,2016-03-01 16:39:38 -0300
16,2016-03-01 16:55:28 -0300
12,2016-03-01 17:06:02 -0300
588,2016-03-01 17:51:08 -0300
717,2016-03-01 17:56:17 -0300
1035,2016-03-01 18:01:19 -0300
678,2016-03-01 18:06:22 -0300
92,2016-03-01 18:11:27 -0300
13,2016-03-01 18:17:13 -0300
27,2016-03-02 06:54:17 -0300
41,2016-03-02 07:39:08 -0300
400,2016-03-02 07:44:53 -0300
593,2016-03-02 07:49:55 -0300
512,2016-03-02 07:54:56 -0300
309,2016-03-02 07:59:58 -0300
414,2016-03-02 08:58:22 -0300
57,2016-03-02 09:03:28 -0300
196,2016-03-02 09:08:37 -0300
389,2016-03-02 09:18:45 -0300
2,2016-03-02 09:23:47 -0300
517,2016-03-02 09:31:37 -0300
524,2016-03-02 09:36:39 -0300
327,2016-03-02 09:41:43 -0300
20,2016-03-02 09:47:01 -0300
420,2016-03-02 10:00:11 -0300
510,2016-03-02 10:05:13 -0300
436,2016-03-02 10:10:16 -0300
375,2016-03-02 10:15:21 -0300
599,2016-03-02 10:20:23 -0300
355,2016-03-02 10:25:25 -0300
438,2016-03-02 10:30:27 -0300
563,2016-03-02 10:35:29 -0300
509,2016-03-02 10:40:30 -0300
1,2016-03-02 10:45:37 -0300
443,2016-03-02 10:51:21 -0300
30,2016-03-02 10:56:23 -0300
155,2016-03-02 11:33:46 -0300
135,2016-03-02 12:06:33 -0300
87,2016-03-02 12:39:43 -0300
12,2016-03-02 13:10:54 -0300
8,2016-03-02 13:55:16 -0300
87,2016-03-02 15:10:08 -0300
9,2016-03-02 15:15:44 -0300
98,2016-03-02 15:21:11 -0300
138,2016-03-02 16:11:15 -0300
313,2016-03-02 16:52:44 -0300
28,2016-03-02 17:04:36 -0300
387,2016-03-02 17:15:21 -0300
36,2016-03-02 17:20:00 -0300
44,2016-03-02 17:25:15 -0300
19,2016-03-02 17:38:11 -0300
32,2016-03-02 17:48:29 -0300
266,2016-03-02 17:54:05 -0300
204,2016-03-02 17:59:05 -0300
91,2016-03-02 18:04:07 -0300
231,2016-03-02 18:09:29 -0300
114,2016-03-02 18:15:14 -0300
117,2016-03-02 18:21:00 -0300
63,2016-03-02 18:26:42 -0300
131,2016-03-02 18:30:57 -0300
106,2016-03-02 18:36:07 -0300
61,2016-03-02 18:47:06 -0300
11,2016-03-02 18:50:07 -0300
59,2016-03-02 18:55:15 -0300
47,2016-03-02 19:01:55 -0300
94,2016-03-02 19:07:04 -0300
27,2016-03-02 19:12:55 -0300
509,2016-03-02 19:19:18 -0300
570,2016-03-02 19:24:21 -0300
557,2016-03-02 19:29:23 -0300
165,2016-03-02 19:34:25 -0300
41,2016-03-03 07:49:55 -0300
165,2016-03-03 07:55:05 -0300
826,2016-03-03 08:00:06 -0300
1076,2016-03-03 08:05:08 -0300
819,2016-03-03 08:10:09 -0300
142,2016-03-03 08:15:11 -0300
24,2016-03-03 08:29:47 -0300
145,2016-03-03 09:38:28 -0300
92,2016-03-03 09:49:11 -0300
583,2016-03-03 12:20:32 -0300
477,2016-03-03 12:25:41 -0300
864,2016-03-03 12:34:51 -0300
223,2016-03-03 12:39:54 -0300
101,2016-03-03 13:02:44 -0300
8,2016-03-03 13:13:03 -0300
17,2016-03-03 13:50:54 -0300
23,2016-03-03 14:07:22 -0300
166,2016-03-03 14:59:32 -0300
63,2016-03-03 15:04:36 -0300
66,2016-03-03 15:09:46 -0300
171,2016-03-03 16:26:32 -0300
136,2016-03-03 17:43:15 -0300
527,2016-03-03 17:48:17 -0300
971,2016-03-03 17:53:19 -0300
929,2016-03-03 17:58:21 -0300
503,2016-03-03 18:03:21 -0300
14,2016-03-03 18:08:24 -0300
584,2016-03-03 18:43:00 -0300
520,2016-03-03 18:48:03 -0300
53,2016-03-03 18:53:31 -0300
45,2016-03-03 19:10:53 -0300
123,2016-03-03 19:27:52 -0300
58,2016-03-03 19:32:24 -0300
21,2016-03-03 19:34:54 -0300
57,2016-03-03 19:40:16 -0300
167,2016-03-03 19:47:47 -0300
30,2016-03-03 19:52:57 -0300
29,2016-03-03 19:56:54 -0300
107,2016-03-03 20:02:08 -0300
275,2016-03-03 20:07:16 -0300
78,2016-03-03 20:12:26 -0300
25,2016-03-03 20:33:40 -0300
20,2016-03-04 16:03:55 -0300
22,2016-03-04 16:47:07 -0300
21,2016-03-04 23:40:50 -0300
8,2016-03-05 11:13:23 -0300
16,2016-03-05 11:50:31 -0300
128,2016-03-06 11:42:11 -0300
100,2016-03-06 11:47:18 -0300
45,2016-03-06 11:50:38 -0300
156,2016-03-06 11:55:38 -0300
71,2016-03-06 12:00:45 -0300
74,2016-03-06 12:37:37 -0300
30,2016-03-06 13:00:52 -0300
361,2016-03-06 13:12:11 -0300
168,2016-03-06 13:17:12 -0300
27,2016-03-06 13:22:44 -0300
153,2016-03-06 14:26:44 -0300
47,2016-03-06 14:32:06 -0300
29,2016-03-07 06:53:29 -0300
46,2016-03-07 07:03:37 -0300
34,2016-03-07 07:08:39 -0300
9,2016-03-07 07:17:18 -0300
409,2016-03-07 07:46:06 -0300
12,2016-03-07 07:51:12 -0300
226,2016-03-07 10:21:25 -0300
383,2016-03-07 10:26:26 -0300
405,2016-03-07 10:32:12 -0300
101,2016-03-07 10:37:21 -0300
89,2016-03-07 12:51:55 -0300
54,2016-03-07 12:57:04 -0300
318,2016-03-07 15:09:10 -0300
190,2016-03-07 15:14:11 -0300
574,2016-03-07 15:40:20 -0300
350,2016-03-07 15:45:22 -0300
111,2016-03-07 15:50:32 -0300
22,2016-03-07 15:54:07 -0300
441,2016-03-07 17:29:29 -0300
283,2016-03-07 17:34:30 -0300
363,2016-03-07 17:53:31 -0300
68,2016-03-07 17:58:50 -0300
25,2016-03-07 18:03:44 -0300
304,2016-03-07 18:14:10 -0300
168,2016-03-07 18:18:35 -0300
152,2016-03-07 18:23:37 -0300
132,2016-03-07 18:31:14 -0300
120,2016-03-07 19:01:10 -0300
62,2016-03-07 19:49:06 -0300
161,2016-03-07 21:39:16 -0300
527,2016-03-07 22:08:46 -0300
585,2016-03-07 22:13:48 -0300
233,2016-03-07 22:18:49 -0300
22,2016-03-07 22:22:15 -0300
189,2016-03-07 22:33:42 -0300
15,2016-03-07 22:35:55 -0300
33,2016-03-07 22:40:03 -0300
542,2016-03-07 22:45:04 -0300
48,2016-03-07 22:50:11 -0300
23,2016-03-08 11:34:09 -0300
258,2016-03-08 12:05:27 -0300
74,2016-03-08 12:09:37 -0300
197,2016-03-08 12:14:38 -0300
14,2016-03-08 12:19:42 -0300
15,2016-03-08 13:36:32 -0300
72,2016-03-08 18:13:11 -0300
591,2016-03-08 18:18:57 -0300
586,2016-03-08 18:24:04 -0300
497,2016-03-08 18:29:10 -0300
205,2016-03-08 18:34:13 -0300
241,2016-03-08 18:39:14 -0300
428,2016-03-08 18:44:24 -0300
563,2016-03-08 18:54:37 -0300
288,2016-03-08 18:59:43 -0300
472,2016-03-08 20:22:09 -0300
556,2016-03-08 20:27:21 -0300
563,2016-03-08 20:32:22 -0300
408,2016-03-08 20:37:23 -0300
57,2016-03-09 07:50:39 -0300
36,2016-03-09 07:53:04 -0300
483,2016-03-09 07:58:06 -0300
27,2016-03-09 08:03:38 -0300
137,2016-03-09 08:08:40 -0300
471,2016-03-09 08:21:05 -0300
617,2016-03-09 08:26:06 -0300
274,2016-03-09 08:31:08 -0300
260,2016-03-09 08:36:10 -0300
75,2016-03-09 08:46:11 -0300
239,2016-03-09 08:52:32 -0300
90,2016-03-09 09:13:53 -0300
104,2016-03-09 10:53:23 -0300
89,2016-03-09 10:59:09 -0300
332,2016-03-09 11:14:23 -0300
32,2016-03-09 11:19:47 -0300
23,2016-03-09 11:50:49 -0300
210,2016-03-09 12:42:36 -0300
125,2016-03-09 13:00:28 -0300
429,2016-03-09 13:05:30 -0300
518,2016-03-09 13:10:40 -0300
459,2016-03-09 14:27:43 -0300
364,2016-03-09 14:32:45 -0300
188,2016-03-09 15:59:08 -0300
144,2016-03-09 16:04:12 -0300
18,2016-03-09 16:07:38 -0300
34,2016-03-09 16:12:59 -0300
121,2016-03-09 18:48:41 -0300
14,2016-03-09 18:55:47 -0300
103,2016-03-09 19:07:56 -0300
16,2016-03-09 19:13:28 -0300
8,2016-03-09 20:49:17 -0300
154,2016-03-09 21:03:47 -0300
29,2016-03-09 21:08:56 -0300
330,2016-03-09 21:27:46 -0300
381,2016-03-09 21:32:56 -0300
571,2016-03-09 21:37:57 -0300
394,2016-03-09 21:42:59 -0300
253,2016-03-09 21:46:44 -0300
201,2016-03-09 21:51:45 -0300
