startDate,value
2015-10-1,7684.0
2015-10-10,768.0
2015-10-11,765.0
2015-10-12,818.0
2015-10-13,5242.0
2015-10-14,9275.0
2015-10-15,9912.0
2015-10-16,6801.0
2015-10-17,1426.0
2015-10-18,1128.0
2015-10-19,6577.0
2015-10-2,3871.0
2015-10-20,5728.0
2015-10-21,13151.0
2015-10-22,7690.0
2015-10-23,3017.0
2015-10-24,4687.0
2015-10-25,819.0
2015-10-26,6449.0
2015-10-27,5739.0
2015-10-28,6953.0
2015-10-29,6799.0
2015-10-3,1211.0
2015-10-30,4324.0
2015-10-31,5686.0
2015-10-4,973.0
2015-10-5,4372.0
2015-10-6,8188.0
2015-10-7,2264.0
2015-10-8,5320.0
2015-10-9,4953.0
2015-11-1,625.0
2015-11-10,6358.0
2015-11-11,5339.0
2015-11-12,8034.0
2015-11-13,2650.0
2015-11-14,246.0
2015-11-15,202.0
2015-11-16,3994.0
2015-11-17,7986.0
2015-11-18,8636.0
2015-11-19,6057.0
2015-11-2,6222.0
2015-11-20,5209.0
2015-11-21,4821.0
2015-11-22,1407.0
2015-11-23,8718.0
2015-11-24,5516.0
2015-11-25,4464.0
2015-11-26,7106.0
2015-11-27,8595.0
2015-11-28,9594.0
2015-11-29,789.0
2015-11-3,5585.0
2015-11-30,3665.0
2015-11-4,9434.0
2015-11-5,7729.0
2015-11-6,3450.0
2015-11-7,380.0
2015-11-8,3061.0
2015-11-9,4576.0
2015-12-1,6415.0
2015-12-10,5520.0
2015-12-11,3826.0
2015-12-12,2058.0
2015-12-13,194.0
2015-12-14,2820.0
2015-12-15,4617.0
2015-12-16,3516.0
2015-12-17,7569.0
2015-12-18,6395.0
2015-12-19,104.0
2015-12-2,5646.0
2015-12-20,311.0
2015-12-21,4052.0
2015-12-22,6606.0
2015-12-23,10038.0
2015-12-24,1753.0
2015-12-25,1937.0
2015-12-26,407.0
2015-12-27,9233.0
2015-12-28,7874.0
2015-12-29,8965.0
2015-12-3,3792.0
2015-12-30,10733.0
2015-12-31,5547.0
2015-12-4,6994.0
2015-12-5,5845.0
2015-12-6,749.0
2015-12-7,223.0
2015-12-8,1096.0
2015-12-9,7365.0
2015-4-1,8636.0
2015-4-10,1874.0
2015-4-11,382.0
2015-4-12,237.0
2015-4-13,9069.0
2015-4-14,7297.0
2015-4-15,8960.0
2015-4-16,6542.0
2015-4-17,381.0
2015-4-18,572.0
2015-4-19,167.0
2015-4-2,2068.0
2015-4-20,6874.0
2015-4-21,7052.0
2015-4-22,10144.0
2015-4-23,7630.0
2015-4-24,962.0
2015-4-25,1510.0
2015-4-26,415.0
2015-4-27,5648.0
2015-4-28,6179.0
2015-4-29,4943.0
2015-4-3,7185.0
2015-4-30,6632.0
2015-4-4,234.0
2015-4-5,2264.0
2015-4-6,7716.0
2015-4-7,7703.0
2015-4-8,8893.0
2015-4-9,6879.0
2015-5-1,676.0
2015-5-10,57.0
2015-5-11,7837.0
2015-5-12,9533.0
2015-5-13,8945.0
2015-5-14,7727.0
2015-5-15,285.0
2015-5-16,1206.0
2015-5-17,3069.0
2015-5-18,7251.0
2015-5-19,5633.0
2015-5-2,901.0
2015-5-20,9117.0
2015-5-21,7491.0
2015-5-22,8230.0
2015-5-23,6653.0
2015-5-24,190.0
2015-5-25,330.0
2015-5-26,5698.0
2015-5-27,9609.0
2015-5-28,7082.0
2015-5-29,201.0
2015-5-3,448.0
2015-5-30,1367.0
2015-5-31,796.0
2015-5-4,6013.0
2015-5-5,8008.0
2015-5-6,7445.0
2015-5-7,8470.0
2015-5-8,172.0
2015-5-9,87.0
2015-6-1,7909.0
2015-6-10,5655.0
2015-6-11,7800.0
2015-6-12,67.0
2015-6-13,964.0
2015-6-14,736.0
2015-6-15,6982.0
2015-6-16,4979.0
2015-6-17,5744.0
2015-6-18,7265.0
2015-6-19,2555.0
2015-6-2,7823.0
2015-6-20,218.0
2015-6-21,769.0
2015-6-22,7181.0
2015-6-23,4589.0
2015-6-24,4313.0
2015-6-25,831.0
2015-6-26,1842.0
2015-6-27,117.0
2015-6-28,148.0
2015-6-29,5819.0
2015-6-3,7465.0
2015-6-30,4318.0
2015-6-4,6808.0
2015-6-5,13.0
2015-6-6,538.0
2015-6-7,619.0
2015-6-8,7158.0
2015-6-9,190.0
2015-7-1,5563.0
2015-7-10,4816.0
2015-7-11,506.0
2015-7-12,334.0
2015-7-13,7629.0
2015-7-14,4684.0
2015-7-15,3502.0
2015-7-16,3324.0
2015-7-17,245.0
2015-7-18,26.0
2015-7-19,337.0
2015-7-2,3635.0
2015-7-20,2993.0
2015-7-21,8909.0
2015-7-22,6289.0
2015-7-23,5635.0
2015-7-24,8938.0
2015-7-25,12389.0
2015-7-26,4505.0
2015-7-28,78.0
2015-7-29,1428.0
2015-7-3,2992.0
2015-7-30,2501.0
2015-7-31,1111.0
2015-7-4,1463.0
2015-7-5,1894.0
2015-7-6,5073.0
2015-7-7,7152.0
2015-7-8,3673.0
2015-7-9,416.0
2015-8-1,412.0
2015-8-10,7568.0
2015-8-11,6310.0
2015-8-12,8897.0
2015-8-13,7088.0
2015-8-14,3567.0
2015-8-15,904.0
2015-8-16,205.0
2015-8-17,2085.0
2015-8-18,5008.0
2015-8-19,8020.0
2015-8-2,1399.0
2015-8-20,7169.0
2015-8-21,2936.0
2015-8-22,584.0
2015-8-23,491.0
2015-8-24,5280.0
2015-8-25,5239.0
2015-8-26,6508.0
2015-8-27,7416.0
2015-8-28,2861.0
2015-8-29,2033.0
2015-8-3,8613.0
2015-8-30,6881.0
2015-8-31,5171.0
2015-8-4,5211.0
2015-8-5,8000.0
2015-8-6,5129.0
2015-8-7,3393.0
2015-8-8,4491.0
2015-8-9,2076.0
2015-9-1,6102.0
2015-9-10,6804.0
2015-9-11,3805.0
2015-9-12,3426.0
2015-9-13,1843.0
2015-9-14,6195.0
2015-9-15,5191.0
2015-9-16,8097.0
2015-9-17,7440.0
2015-9-18,8602.0
2015-9-19,1296.0
2015-9-2,6916.0
2015-9-20,271.0
2015-9-21,302.0
2015-9-22,3263.0
2015-9-23,9201.0
2015-9-24,3721.0
2015-9-25,575.0
2015-9-26,109.0
2015-9-27,1153.0
2015-9-28,7505.0
2015-9-29,6205.0
2015-9-3,6084.0
2015-9-30,8532.0
2015-9-4,4594.0
2015-9-5,300.0
2015-9-6,164.0
2015-9-7,6056.0
2015-9-8,5010.0
2015-9-9,6091.0
2016-1-1,3194.0
2016-1-10,4524.0
2016-1-11,1403.0
2016-1-12,6123.0
2016-1-13,5538.0
2016-1-14,3995.0
2016-1-15,2920.0
2016-1-16,1369.0
2016-1-17,1906.0
2016-1-18,8077.0
2016-1-19,6964.0
2016-1-2,525.0
2016-1-20,8712.0
2016-1-21,16529.0
2016-1-22,6586.0
2016-1-23,12406.0
2016-1-24,3175.0
2016-1-25,13042.0
2016-1-26,6452.0
2016-1-27,6439.0
2016-1-28,5766.0
2016-1-29,547.0
2016-1-3,2076.0
2016-1-30,4823.0
2016-1-31,2236.0
2016-1-4,5775.0
2016-1-5,2544.0
2016-1-6,3066.0
2016-1-7,16873.0
2016-1-8,2210.0
2016-1-9,5504.0
2016-2-1,4478.0
2016-2-10,4163.0
2016-2-11,4653.0
2016-2-12,80.0
2016-2-13,3277.0
2016-2-14,273.0
2016-2-15,2965.0
2016-2-16,4629.0
2016-2-17,6887.0
2016-2-18,7317.0
2016-2-19,3284.0
2016-2-2,3749.0
2016-2-20,3002.0
2016-2-21,1713.0
2016-2-22,1706.0
2016-2-23,5198.0
2016-2-24,8808.0
2016-2-25,12130.0
2016-2-26,598.0
2016-2-27,8683.0
2016-2-28,1136.0
2016-2-29,11907.0
2016-2-3,8677.0
2016-2-4,5381.0
2016-2-5,1449.0
2016-2-6,1668.0
2016-2-7,3784.0
2016-2-8,1555.0
2016-2-9,299.0
2016-3-1,11367.0
2016-3-10,3915.0
2016-3-11,9421.0
2016-3-12,2709.0
2016-3-13,1092.0
2016-3-14,5440.0
2016-3-15,13337.0
2016-3-16,5747.0
2016-3-17,5228.0
2016-3-18,8591.0
2016-3-19,23.0
2016-3-2,14018.0
2016-3-20,1164.0
2016-3-21,4967.0
2016-3-22,9895.0
2016-3-23,7984.0
2016-3-24,53.0
2016-3-25,1146.0
2016-3-26,3024.0
2016-3-27,4074.0
2016-3-28,4795.0
2016-3-29,8989.0
2016-3-3,11344.0
2016-3-30,5897.0
2016-3-31,10458.0
2016-3-4,63.0
2016-3-5,24.0
2016-3-6,1360.0
2016-3-7,7835.0
2016-3-8,6051.0
2016-3-9,8410.0
